GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | PG -> XO | LO -> XT | PG -> XO | XG -> LZ | LT -> EZ | GOTZ -> ELPX | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ | XG -> LZ | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | PG -> XO | LT -> EZ | PG -> XO | GOTZ -> ELPX | PG -> XO | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | XG -> LZ | LT -> EZ | EO -> GL | XG -> LZ | PG -> XO | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | XG -> LZ | LT -> EZ | LO -> XT | PG -> XO | PG -> XO | GOTZ -> ELPX | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | LT -> EZ | GOTZ -> ELPX | PG -> XO | XG -> LZ | XG -> LZ | XG -> LZ | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | LO -> XT | EO -> GL | LT -> EZ | GOTZ -> ELPX | XG -> LZ | XG -> LZ | XG -> LZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | PG -> XO | XG -> LZ | EO -> GL | EO -> GL | LO -> XT | LT -> EZ | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | XG -> LZ | EO -> GL | EO -> GL | PG -> XO | LO -> XT | LT -> EZ | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | PG -> XO | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
